Date,Eggs Produced,Demand,Inventory,Spoilage,Delivery Quantity,Revenue
2024-01-01,902,833,69,0,833,124.94999999999999
2024-01-02,1148,779,437,1,779,116.85
2024-01-03,1070,939,560,8,939,140.85
2024-01-04,906,824,631,11,824,123.6
2024-01-05,871,877,613,12,877,131.54999999999998
2024-01-06,988,999,590,12,999,149.85
2024-01-07,820,996,403,11,996,149.4
2024-01-08,902,841,456,8,841,126.14999999999999
2024-01-09,921,966,402,9,966,144.9
2024-01-10,1014,980,428,8,980,147.0
2024-01-11,1130,939,611,8,939,140.85
2024-01-12,887,974,512,12,974,146.1
2024-01-13,1172,878,796,10,878,131.7
2024-01-14,899,870,810,15,870,130.5
2024-01-15,1159,776,1177,16,776,116.39999999999999
2024-01-16,951,939,1166,23,939,140.85
2024-01-17,930,870,1203,23,870,130.5
2024-01-18,949,865,1263,24,865,129.75
2024-01-19,1108,954,1392,25,954,143.1
2024-01-20,1057,982,1440,27,982,147.29999999999998
2024-01-21,1143,752,1803,28,752,112.8
2024-01-22,1093,852,2008,36,852,127.8
2024-01-23,1185,947,2206,40,947,142.04999999999998
2024-01-24,991,949,2204,44,949,142.35
2024-01-25,1076,904,2332,44,904,135.6
2024-01-26,960,886,2360,46,886,132.9
2024-01-27,1113,811,2615,47,811,121.64999999999999
2024-01-28,821,914,2470,52,914,137.1
2024-01-29,1052,974,2499,49,974,146.1
2024-01-30,1035,800,2685,49,800,120.0
2024-01-31,1144,983,2793,53,983,147.45
2024-02-01,848,921,2665,55,921,138.15
2024-02-02,858,901,2569,53,901,135.15
2024-02-03,969,956,2531,51,956,143.4
2024-02-04,987,808,2660,50,808,121.19999999999999
2024-02-05,1070,867,2810,53,867,130.04999999999998
2024-02-06,989,909,2834,56,909,136.35
2024-02-07,974,845,2907,56,845,126.75
2024-02-08,850,965,2734,58,965,144.75
2024-02-09,1163,982,2861,54,982,147.29999999999998
2024-02-10,854,929,2729,57,929,139.35
2024-02-11,1043,862,2856,54,862,129.29999999999998
2024-02-12,1119,811,3107,57,811,121.64999999999999
2024-02-13,930,990,2985,62,990,148.5
2024-02-14,1106,935,3097,59,935,140.25
2024-02-15,934,801,3169,61,801,120.14999999999999
2024-02-16,820,761,3165,63,761,114.14999999999999
2024-02-17,1128,788,3442,63,788,118.19999999999999
2024-02-18,966,879,3461,68,879,131.85
2024-02-19,1073,880,3585,69,880,132.0
2024-02-20,1187,862,3839,71,862,129.29999999999998
2024-02-21,888,850,3801,76,850,127.5
2024-02-22,1115,862,3978,76,862,129.29999999999998
2024-02-23,813,933,3779,79,933,139.95
2024-02-24,1041,830,3915,75,830,124.5
2024-02-25,1064,936,3965,78,936,140.4
2024-02-26,1145,862,4169,79,862,129.29999999999998
2024-02-27,852,751,4187,83,751,112.64999999999999
2024-02-28,1185,879,4410,83,879,131.85
2024-02-29,1139,969,4492,88,969,145.35
2024-03-01,891,803,4491,89,803,120.44999999999999
2024-03-02,1166,836,4732,89,836,125.39999999999999
2024-03-03,1063,978,4723,94,978,146.7
2024-03-04,834,973,4490,94,973,145.95
2024-03-05,1005,974,4432,89,974,146.1
2024-03-06,880,878,4346,88,878,131.7
2024-03-07,849,896,4213,86,896,134.4
2024-03-08,1159,875,4413,84,875,131.25
2024-03-09,1187,879,4633,88,879,131.85
2024-03-10,801,802,4540,92,802,120.3
2024-03-11,1189,921,4718,90,921,138.15
2024-03-12,853,967,4510,94,967,145.04999999999998
2024-03-13,905,909,4416,90,909,136.35
2024-03-14,1059,947,4440,88,947,142.04999999999998
2024-03-15,1109,909,4552,88,909,136.35
2024-03-16,990,996,4455,91,996,149.4
2024-03-17,1017,817,4566,89,817,122.55
2024-03-18,843,932,4386,91,932,139.79999999999998
2024-03-19,961,952,4308,87,952,142.79999999999998
2024-03-20,1001,933,4290,86,933,139.95
2024-03-21,1069,872,4402,85,872,130.79999999999998
2024-03-22,1150,894,4570,88,894,134.1
2024-03-23,1103,787,4795,91,787,118.05
2024-03-24,1070,773,4997,95,773,115.94999999999999
2024-03-25,1014,818,5094,99,818,122.69999999999999
2024-03-26,1051,865,5179,101,865,129.75
2024-03-27,989,847,5218,103,847,127.05
2024-03-28,1095,947,5262,104,947,142.04999999999998
2024-03-29,1012,963,5206,105,963,144.45
2024-03-30,1007,888,5221,104,888,133.2
2024-03-31,1036,989,5164,104,989,148.35
2024-04-01,1137,893,5305,103,893,133.95
2024-04-02,1166,846,5519,106,846,126.89999999999999
2024-04-03,852,950,5311,110,950,142.5
2024-04-04,1079,873,5411,106,873,130.95
2024-04-05,1016,936,5383,108,936,140.4
2024-04-06,1051,819,5508,107,819,122.85
2024-04-07,987,957,5428,110,957,143.54999999999998
2024-04-08,1179,842,5657,108,842,126.3
2024-04-09,840,752,5632,113,752,112.8
2024-04-10,956,897,5579,112,897,134.54999999999998
2024-04-11,814,936,5346,111,936,140.4
2024-04-12,1100,913,5427,106,913,136.95
2024-04-13,864,896,5287,108,896,134.4
2024-04-14,1144,839,5487,105,839,125.85
2024-04-15,1126,944,5560,109,944,141.6
2024-04-16,808,896,5361,111,896,134.4
2024-04-17,1143,897,5500,107,897,134.54999999999998
2024-04-18,928,845,5473,110,845,126.75
2024-04-19,935,948,5351,109,948,142.2
